PRODUCTO,CANTIDAD_PRODUCTO, PRECIO_TOTAL,FECHA,AÑO,MES,NomMes,DIA,REFERENCIA,GENERO,TALLA,CANTIDAD_DEVOLUCION, PRECIO_TOTAL_DEVOL
[602041L] PIJAMA BAUSI SUBLIMADA 602041 (L),1, $  7.000 ,2021-07-01,2021,7,JUL,1,PIJAMA,HOMBRE,L,,
[602041M] PIJAMA BAUSI SUBLIMADA 602041 (M),3, $  14.600 ,2021-07-01,2021,7,JUL,1,PIJAMA,HOMBRE,M,,
[602042L] PIJAMA BAUSI SUBLIMADA 602042 (L),3, $  14.600 ,2021-07-01,2021,7,JUL,1,PIJAMA,HOMBRE,L,,
[602042M] PIJAMA BAUSI SUBLIMADA 602042 (M),1, $  4.600 ,2021-07-01,2021,7,JUL,1,PIJAMA,HOMBRE,M,,
[602045L] PIJAMA BAUSI SUBLIMADA 602045 (L),3, $  13.800 ,2021-07-01,2021,7,JUL,1,PIJAMA,HOMBRE,L,,
[602045M] PIJAMA BAUSI SUBLIMADA 602045 (M),11, $  53.000 ,2021-07-01,2021,7,JUL,1,PIJAMA,HOMBRE,M,,
[602046L] PIJAMA BAUSI SUBLIMADA 602046 (L),5, $  23.000 ,2021-07-01,2021,7,JUL,1,PIJAMA,HOMBRE,L,,
[602046M] PIJAMA BAUSI SUBLIMADA 602046 (M),6, $  30.000 ,2021-07-01,2021,7,JUL,1,PIJAMA,HOMBRE,M,,
[701004L] PLAYERA BAUSI 701004 (L),2, $  9.000 ,2021-07-01,2021,7,JUL,1,PLAYERA,HOMBRE,L,,
[701004M] PLAYERA BAUSI 701004 (M),1, $  4.000 ,2021-07-01,2021,7,JUL,1,PLAYERA,HOMBRE,M,,
[701004S] PLAYERA BAUSI 701004 (S),1, $  4.000 ,2021-07-01,2021,7,JUL,1,PLAYERA,HOMBRE,S,,
[701004XXL] PLAYERA BAUSI 701004 (XXL),1, $  4.000 ,2021-07-01,2021,7,JUL,1,PLAYERA,HOMBRE,XXL,,
[701005M] PLAYERA BAUSI 701005 (M),1, $  4.000 ,2021-07-01,2021,7,JUL,1,PLAYERA,HOMBRE,M,,
[701006L] PLAYERA BAUSI 701006 (L),1, $  4.000 ,2021-07-01,2021,7,JUL,1,PLAYERA,HOMBRE,L,,
[701008L] PLAYERA BAUSI 701008 (L),11, $  46.100 ,2021-07-01,2021,7,JUL,1,PLAYERA,HOMBRE,L,,
[701008M] PLAYERA BAUSI 701008 (M),11, $  46.500 ,2021-07-01,2021,7,JUL,1,PLAYERA,HOMBRE,M,,
[701008S] PLAYERA BAUSI 701008 (S),9, $  36.000 ,2021-07-01,2021,7,JUL,1,PLAYERA,HOMBRE,S,,
[701008XL] PLAYERA BAUSI 701008 (XL),1, $  4.000 ,2021-07-01,2021,7,JUL,1,PLAYERA,HOMBRE,XL,,
[701012M] PLAYERA BAUSI 701012 (M),3, $  11.600 ,2021-07-01,2021,7,JUL,1,PLAYERA,HOMBRE,M,,
[701012S] PLAYERA BAUSI 701012 (S),2, $  9.500 ,2021-07-01,2021,7,JUL,1,PLAYERA,HOMBRE,S,,
[701012XXL] PLAYERA BAUSI 701012 (XXL),,,2021-07-01,2021,7,JUL,1,PLAYERA,HOMBRE,XXL,0, $  400 
[701017L] PLAYERA BAUSI 701017 (L),8, $  33.200 ,2021-07-01,2021,7,JUL,1,PLAYERA,HOMBRE,L,,
